gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	past_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	past_gene_rank	rank_delta
TRPM4	19	49157792	54044	#73af42	transient receptor potential cation channel subfamily M member 4	180	6	0	6		4574	10478	-5904
IL2RB	22	37125843	49213	#73af42	interleukin 2 receptor subunit beta	180	6	0	6		4574	10478	-5904
RWDD1	6	116571504	26171	#73af42	RWD domain containing 1	180	6	0	6		4574	10478	-5904
SFTPC	8	22161798	2680	#73af42	surfactant protein C	180	6	0	6		4574	10478	-5904
IFNAR2	21	33229895	34618	#73af42	interferon alpha and beta receptor subunit 2	180	6	0	6		4574	10478	-5904
MIR663B	2	132256966	114	#73af42	microRNA 663b	180	6	0	6		4574	10478	-5904
FOXJ2	12	8032716	22801	#73af42	forkhead box J2	180	6	0	6		4574	10478	-5904
TARP	7	38259643	14004	#73af42	TCR gamma alternate reading frame protein	180	6	0	6		4574	10478	-5904
BANK1	4	101790730	284082	#73af42	B cell scaffold protein with ankyrin repeats 1	180	6	0	6		4574	10478	-5904
MUC19	12	40393394	177361	#73af42	mucin 19, oligomeric	180	6	0	6		4574	10478	-5904
PASK	2	241106099	43373	#73af42	PAS domain containing serine/threonine kinase	180	6	0	6		4574	10478	-5904
UNC5B-AS1	10	71217224	1004	#73af42	UNC5B antisense RNA 1	180	6	0	6		4574	10478	-5904
RAD51C	17	58692573	2807	#73af42	RAD51 paralog C	180	6	0	6		4574	10478	-5904
TTC30A	2	177613000	5742	#73af42	tetratricopeptide repeat domain 30A	180	6	0	6		4574	10478	-5904
MYOM1	18	3066807	153161	#73af42	myomesin 1	180	6	0	6		4574	10478	-5904
PBDC1	X	76173062	5252	#73af42	polysaccharide biosynthesis domain containing 1	180	6	0	6		4574	10478	-5904
RELL1	4	37610634	75742	#73af42	RELT like 1	180	6	0	6		4574	10478	-5904
NPHP3-AS1	3	132721750	152461	#73af42	NPHP3 antisense RNA 1	180	6	0	6		4574	10478	-5904
MIR7977	3	176515103	48	#73af42	microRNA 7977	180	6	0	6		4574	10478	-5904
ADA	20	44619519	32239	#73af42	adenosine deaminase	180	6	0	6		4574	10478	-5904
DNAJC5B	8	66014978	86265	#73af42	DnaJ heat shock protein family (Hsp40) member C5 beta	180	6	0	6		4574	10478	-5904
TMEM237	2	201620186	23317	#73af42	transmembrane protein 237	180	6	0	6		4574	10478	-5904
FOLR2	11	72216794	5156	#73af42	folate receptor beta	180	6	0	6		4574	10478	-5904
MIR1306	22	20086058	84	#73af42	microRNA 1306	180	6	0	6		4574	10478	-5904
MIR600	9	123111546	97	#73af42	microRNA 600	180	6	0	6		4574	10478	-5904
DNAJC18	5	139410203	29322	#73af42	DnaJ heat shock protein family (Hsp40) member C18	180	6	0	6		4574	10478	-5904
B4GALNT1	12	57623409	9270	#73af42	beta-1,4-N-acetyl-galactosaminyltransferase 1	180	6	0	6		4574	10478	-5904
SLED1	4	184798296	750	#73af42	proteoglycan 3, pro eosinophil major basic protein 2 pseudogene	180	6	0	6		4574	10478	-5904
CPLANE1	5	37106228	143200	#73af42	ciliogenesis and planar polarity effector 1	180	6	0	6		4574	10478	-5904
EDN3	20	59300611	25381	#73af42	endothelin 3	180	6	0	6		4574	10478	-5904
MIR583	5	96079138	74	#73af42	microRNA 583	180	6	0	6		4574	10478	-5904
MIR3195	20	62064802	83	#73af42	microRNA 3195	180	6	0	6		4574	10478	-5904
IL27RA	19	14031762	21456	#73af42	interleukin 27 receptor subunit alpha	180	6	0	6		4574	10478	-5904
G0S2	1	209675412	978	#73af42	G0/G1 switch 2	180	6	0	6		4574	10478	-5904
SLC16A8	22	38078137	5026	#73af42	solute carrier family 16 member 8	180	6	0	6		4574	10478	-5904
SDC4	20	45325289	23135	#73af42	syndecan 4	180	6	0	6		4574	10478	-5904
COPS8	2	237085441	13405	#73af42	COP9 signalosome subunit 8	180	6	0	6		4574	10478	-5904
SELENOF	1	86862445	52030	#73af42	selenoprotein F	180	6	0	6		4574	10478	-5904
JPH2	20	44106591	80597	#73af42	junctophilin 2	180	6	0	6		4574	10478	-5904
FNDC1	6	159169400	102708	#73af42	fibronectin type III domain containing 1	180	6	0	6		4574	10478	-5904
SLC8A2	19	47428017	43876	#73af42	solute carrier family 8 member A2	180	6	0	6		4574	10478	-5904
LINC00242	6	63992	10035	#73af42	long intergenic non-protein coding RNA 242	180	6	0	6		4574	10478	-5904
BLOC1S5	6	8013567	50822	#73af42	biogenesis of lysosomal organelles complex 1 subunit 5	180	6	0	6		4574	10478	-5904
SLC25A15	13	40789611	22849	#73af42	solute carrier family 25 member 15	180	6	0	6		4574	10478	-5904
TCF7L1	2	85133392	176995	#73af42	transcription factor 7 like 1	180	6	0	6		4574	10478	-5904
HIF1AN	10	100535943	24052	#73af42	hypoxia inducible factor 1 subunit alpha inhibitor	180	6	0	6		4574	10478	-5904
PTCD1	7	99416739	22059	#73af42	pentatricopeptide repeat domain 1	180	6	0	6		4574	10478	-5904
FOXD1	5	73446268	2509	#73af42	forkhead box D1	180	6	0	6		4574	10478	-5904
MIR3914-1	7	71307672	98	#73af42	microRNA 3914-1	180	6	0	6		4574	10478	-5904
MIR3914-2	7	71307674	94	#73af42	microRNA 3914-2	180	6	0	6		4574	10478	-5904
SPESP1	15	68930525	16286	#73af42	sperm equatorial segment protein 1	180	6	0	6		4574	10478	-5904
LINC01003	7	152464124	1422	#73af42	long intergenic non-protein coding RNA 1003	180	6	0	6		4574	10478	-5904
LAMC1	1	183023420	122172	#73af42	laminin subunit gamma 1	180	9	3	6		395	10418	-10023
PDE7A	8	65714334	74723	#73af42	phosphodiesterase 7A	180	6	0	6		4574	10478	-5904
GPR143	X	9725346	40501	#73af42	G protein-coupled receptor 143	180	6	0	6		4574	10478	-5904
SLC16A2	X	74421493	112423	#73af42	solute carrier family 16 member 2	180	6	0	6		4574	10478	-5904
NAT2	8	18391282	9933	#73af42	N-acetyltransferase 2	180	6	0	6		4574	10478	-5904
UNC13C	15	54012648	615960	#73af42	unc-13 homolog C	180	6	0	6		4574	10478	-5904
HECTD3	1	45002548	8776	#73af42	HECT domain E3 ubiquitin protein ligase 3	180	6	0	6		4574	10478	-5904
KLRC2	12	10430606	5387	#73af42	killer cell lectin like receptor C2	180	6	0	6		4574	10478	-5904
MYH6	14	23381990	26287	#73af42	myosin heavy chain 6	180	6	0	6		4574	10478	-5904
MIR181A2HG	9	124658436	40192	#73af42	MIR181A2 host gene	180	6	0	6		4574	10478	-5904
TNFAIP6	2	151357592	22454	#73af42	TNF alpha induced protein 6	180	6	0	6		4574	10478	-5904
PLPP7	9	131289723	19538	#73af42	phospholipid phosphatase 7 (inactive)	180	6	0	6		4574	10478	-5904
MIR6858	X	154450320	66	#73af42	microRNA 6858	180	6	0	6		4574	10478	-5904
AGRP	16	67482571	976	#73af42	agouti related neuropeptide	180	6	0	6		4574	10478	-5904
UNC119B	12	120710458	13182	#73af42	unc-119 lipid binding chaperone B	180	6	0	6		4574	10478	-5904
CASTOR1	22	30285118	4509	#73af42	cytosolic arginine sensor for mTORC1 subunit 1	180	6	0	6		4574	10478	-5904
CYP2U1	4	107931549	21912	#73af42	cytochrome P450 family 2 subfamily U member 1	180	6	0	6		4574	10478	-5904
GIP	17	48958554	10042	#73af42	gastric inhibitory polypeptide	180	6	0	6		4574	10478	-5904
IL36A	2	113005459	2585	#73af42	interleukin 36 alpha	180	6	0	6		4574	10478	-5904
CCDC96	4	7040850	2151	#73af42	coiled-coil domain containing 96	180	6	0	6		4574	10478	-5904
GPC4	X	133300103	115386	#73af42	glypican 4	180	6	0	6		4574	10478	-5904
PTTG3P	8	66767334	700	#73af42	pituitary tumor-transforming 3, pseudogene	180	6	0	6		4574	10478	-5904
DNAJC15	13	43023586	90627	#73af42	DnaJ heat shock protein family (Hsp40) member C15	180	6	0	6		4574	10478	-5904
KIAA0754	1	39409073	7409	#73af42	KIAA0754	180	6	0	6		4574	10478	-5904
BLOC1S3	19	45178784	3016	#73af42	biogenesis of lysosomal organelles complex 1 subunit 3	180	6	0	6		4574	10478	-5904
TUBB1	20	59019429	7225	#73af42	tubulin beta 1 class VI	180	6	0	6		4574	10478	-5904
SH3TC2	5	148982150	80912	#73af42	SH3 domain and tetratricopeptide repeats 2	180	6	0	6		4574	10478	-5904
FANCE	6	35452338	14764	#73af42	FA complementation group E	180	6	0	6		4574	10478	-5904
CYP2E1	10	133527363	11760	#73af42	cytochrome P450 family 2 subfamily E member 1	180	6	0	6		4574	10478	-5904
SCNN1D	1	1280436	11589	#73af42	sodium channel epithelial 1 subunit delta	180	5	0	5		5717	10478	-4761
FBXW8	12	116910950	120198	#73af42	F-box and WD repeat domain containing 8	180	5	0	5		5717	10478	-4761
ADCY6	12	48766196	22893	#73af42	adenylate cyclase 6	180	5	0	5		5717	10478	-4761
OAS1	12	112906777	11249	#73af42	2'-5'-oligoadenylate synthetase 1	180	5	0	5		5717	10478	-4761
ABHD16A	6	3164245	16002	#73af42	abhydrolase domain containing 16A, phospholipase	180	5	0	5		5717	10478	-4761
FLRT3	20	14322985	14627	#73af42	fibronectin leucine rich transmembrane protein 3	180	5	0	5		5717	10478	-4761
SMUG1	12	54180358	8599	#73af42	single-strand-selective monofunctional uracil-DNA glycosylase 1	180	5	0	5		5717	10478	-4761
GAPVD1	9	125261826	105381	#73af42	GTPase activating protein and VPS9 domains 1	180	10	5	5		156	8822	-8666
GOSR1	17	30477408	50184	#73af42	golgi SNAP receptor complex member 1	180	5	0	5		5717	10478	-4761
PHACTR1	6	13013554	276134	#73af42	phosphatase and actin regulator 1	180	5	0	5		5717	10478	-4761
KIR3DL2	19	129409	16745	#73af42	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2	180	5	0	5		5717	10478	-4761
CCDC186	10	114120862	53358	#73af42	coiled-coil domain containing 186	180	9	4	5		395	10077	-9682
LDB2	4	16501541	397104	#73af42	LIM domain binding 2	180	5	0	5		5717	10478	-4761
B4GALNT2	17	49132460	37529	#73af42	beta-1,4-N-acetyl-galactosaminyltransferase 2	180	5	0	5		5717	10478	-4761
DLG4	17	7189891	30159	#73af42	discs large MAGUK scaffold protein 4	180	5	0	5		5717	10478	-4761
GRAMD1B	11	123358422	269367	#73af42	GRAM domain containing 1B	180	10	5	5		156	8822	-8666
GPR55	2	230907328	17914	#73af42	G protein-coupled receptor 55	180	5	0	5		5717	10478	-4761
TMEM53	1	44653247	21234	#73af42	transmembrane protein 53	180	5	0	5		5717	10478	-4761
CALCRL	2	187341965	106287	#73af42	calcitonin receptor like receptor	180	5	0	5		5717	10478	-4761
IFT52	20	43590937	56362	#73af42	intraflagellar transport 52	180	5	0	5		5717	10478	-4761
MIR486-2	8	41660444	63	#73af42	microRNA 486-2	180	5	0	5		5717	10478	-4761
EIF4E3	3	71675414	49988	#73af42	eukaryotic translation initiation factor 4E family member 3	180	5	0	5		5717	10478	-4761
HHLA2	3	108302485	75799	#73af42	HERV-H LTR-associating 2	180	5	0	5		5717	10478	-4761
HDGFL2	19	4472297	29906	#73af42	HDGF like 2	180	10	5	5		156	8822	-8666
ECE1	1	21217250	62365	#73af42	endothelin converting enzyme 1	180	5	0	5		5717	10478	-4761
VPS45	1	150067776	77553	#73af42	vacuolar protein sorting 45 homolog	180	5	0	5		5717	10478	-4761
KAT8	16	31117664	13695	#73af42	lysine acetyltransferase 8	180	11	6	5		96	6947	-6851
TRIM46	1	155173849	11121	#73af42	tripartite motif containing 46	180	5	0	5		5717	10478	-4761
NDUFA10	2	239957372	67970	#73af42	NADH:ubiquinone oxidoreductase subunit A10	180	5	0	5		5717	10478	-4761
CHD1L	1	147242684	53078	#73af42	chromodomain helicase DNA binding protein 1 like	180	11	6	5		96	6947	-6851
CLDN7	17	7259903	3290	#73af42	claudin 7	180	5	0	5		5717	10478	-4761
BAZ1B	7	73440407	81886	#73af42	bromodomain adjacent to zinc finger domain 1B	180	10	5	5		156	8822	-8666
TMF1	3	69019827	32506	#73af42	TATA element modulatory factor 1	180	5	0	5		5717	10478	-4761
CXCL16	17	4733533	6395	#73af42	C-X-C motif chemokine ligand 16	180	5	0	5		5717	10478	-4761
POLL	10	101578882	9388	#73af42	DNA polymerase lambda	180	5	0	5		5717	10478	-4761
CDH17	8	94127162	90116	#73af42	cadherin 17	180	5	0	5		5717	10478	-4761
FIG4	6	109691221	134210	#73af42	FIG4 phosphoinositide 5-phosphatase	180	5	0	5		5717	10478	-4761
STX10	19	13144058	6317	#73af42	syntaxin 10	180	5	0	5		5717	10478	-4761
MIR323A	14	101025732	85	#73af42	microRNA 323a	180	5	0	5		5717	10478	-4761
WAS	X	48683799	7627	#73af42	WASP actin nucleation promoting factor	180	5	0	5		5717	10478	-4761
METTL18	1	169792532	2375	#73af42	methyltransferase like 18	180	5	0	5		5717	10478	-4761
SLC7A6	16	68264526	37293	#73af42	solute carrier family 7 member 6	180	5	0	5		5717	10478	-4761
RABGAP1L	1	174159520	389041	#73af42	RAB GTPase activating protein 1 like	180	5	0	5		5717	10478	-4761
HMGN3	6	79201245	33437	#73af42	high mobility group nucleosomal binding domain 3	180	5	0	5		5717	10478	-4761
POMT1	9	131502918	20881	#73af42	protein O-mannosyltransferase 1	180	5	0	5		5717	10478	-4761
C1QTNF5	11	119338942	1941	#73af42	C1q and TNF related 5	180	5	0	5		5717	10478	-4761
LARGE1	22	33272526	650362	#73af42	LARGE xylosyl- and glucuronyltransferase 1	180	5	0	5		5717	10478	-4761
DTNB	2	25377243	296404	#73af42	dystrobrevin beta	180	5	0	5		5717	10478	-4761
SUN5	20	32983775	20658	#73af42	Sad1 and UNC84 domain containing 5	180	5	0	5		5717	10478	-4761
ELOVL6	4	110045846	152769	#73af42	ELOVL fatty acid elongase 6	180	5	0	5		5717	10478	-4761
SERPINA12	14	94487279	30565	#73af42	serpin family A member 12	180	5	0	5		5717	10478	-4761
EI24	11	125569477	15206	#73af42	EI24 autophagy associated transmembrane protein	180	8	3	5		1620	10418	-8798
CCNDBP1	15	43185403	11774	#73af42	cyclin D1 binding protein 1	180	5	0	5		5717	10478	-4761
COQ6	14	73949934	13176	#73af42	coenzyme Q6, monooxygenase	180	5	0	5		5717	10478	-4761
RHOBTB2	8	22999548	20651	#73af42	Rho related BTB domain containing 2	180	5	0	5		5717	10478	-4761
XRCC3	14	103697617	17834	#73af42	X-ray repair cross complementing 3	180	5	0	5		5717	10478	-4761
STXBP5-AS1	6	146841389	363225	#73af42	STXBP5 antisense RNA 1	180	5	0	5		5717	10478	-4761
PFN3	5	177400109	552	#73af42	profilin 3	180	5	0	5		5717	10478	-4761
FCRL1	1	157794404	25716	#73af42	Fc receptor like 1	180	5	0	5		5717	10478	-4761
IDUA	4	986997	17560	#73af42	alpha-L-iduronidase	180	5	0	5		5717	10478	-4761
FCRL3	1	157676481	24288	#73af42	Fc receptor like 3	180	5	0	5		5717	10478	-4761
SHTN1	10	116900312	226274	#73af42	shootin 1	180	5	0	5		5717	10478	-4761
SNHG15	7	44983023	3673	#73af42	small nucleolar RNA host gene 15	180	5	0	5		5717	10478	-4761
CHRNB4	15	78624111	17099	#73af42	cholinergic receptor nicotinic beta 4 subunit	180	5	0	5		5717	10478	-4761
CRADD	12	93677717	173038	#73af42	CASP2 and RIPK1 domain containing adaptor with death domain	180	5	0	5		5717	10478	-4761
PRXL2A	10	80413833	23282	#73af42	peroxiredoxin like 2A	180	5	0	5		5717	10478	-4761
PMEPA1	20	57648396	62181	#73af42	prostate transmembrane protein, androgen induced 1	180	5	0	5		5717	10478	-4761
EMP2	16	10528422	52176	#73af42	epithelial membrane protein 2	180	5	0	5		5717	10478	-4761
TCN2	22	30607174	20097	#73af42	transcobalamin 2	180	5	0	5		5717	10478	-4761
SLC37A4	11	45712	5367	#73af42	solute carrier family 37 member 4	180	5	0	5		5717	10478	-4761
SERPINE2	2	223975048	63592	#73af42	serpin family E member 2	180	5	0	5		5717	10478	-4761
ABCG1	21	42219898	77346	#73af42	ATP binding cassette subfamily G member 1	180	5	0	5		5717	10478	-4761
HESX1	3	57197840	29775	#73af42	HESX homeobox 1	180	5	0	5		5717	10478	-4761
TMTC3	12	88142307	57580	#73af42	transmembrane O-mannosyltransferase targeting cadherins 3	180	9	4	5		395	10077	-9682
VTI1A	10	112447215	371529	#73af42	vesicle transport through interaction with t-SNAREs 1A	180	5	0	5		5717	10478	-4761
PIWIL2	8	22275316	82251	#73af42	piwi like RNA-mediated gene silencing 2	180	5	0	5		5717	10478	-4761
PCCA	13	100089093	441341	#73af42	propionyl-CoA carboxylase subunit alpha	180	5	0	5		5717	10478	-4761
SLC23A2	20	4852358	149152	#73af42	solute carrier family 23 member 2	180	5	0	5		5717	10478	-4761
MPZL1	1	167721982	69937	#73af42	myelin protein zero like 1	180	5	0	5		5717	10478	-4761
ARMC12	6	35737032	12047	#73af42	armadillo repeat containing 12	180	5	0	5		5717	10478	-4761
TTYH2	17	74215630	46388	#73af42	tweety family member 2	180	5	0	5		5717	10478	-4761
TAPBPL	12	6452042	10274	#73af42	TAP binding protein like	180	5	0	5		5717	10478	-4761
ZUP1	6	116635618	33192	#73af42	zinc finger containing ubiquitin peptidase 1	180	5	0	5		5717	10478	-4761
EEA1	12	92770637	158658	#73af42	early endosome antigen 1	180	5	0	5		5717	10478	-4761
CYP39A1	6	46549580	103250	#73af42	cytochrome P450 family 39 subfamily A member 1	180	5	0	5		5717	10478	-4761
PAUPAR	11	31826567	2736	#73af42	PAX6 upstream antisense RNA	180	5	0	5		5717	10478	-4761
CD300LF	17	74694317	18606	#73af42	CD300 molecule like family member f	180	5	0	5		5717	10478	-4761
CREB3	9	35732666	4333	#73af42	cAMP responsive element binding protein 3	180	5	0	5		5717	10478	-4761
ZNRF3	22	28917389	140099	#73af42	zinc and ring finger 3	180	5	0	5		5717	10478	-4761
COG1	17	73193055	15451	#73af42	component of oligomeric golgi complex 1	180	5	0	5		5717	10478	-4761
SLC17A9	20	62952709	16876	#73af42	solute carrier family 17 member 9	180	5	0	5		5717	10478	-4761
EBP	X	48521808	6908	#73af42	EBP cholestenol delta-isomerase	180	5	0	5		5717	10478	-4761
CD300A	17	74466634	18160	#73af42	CD300a molecule	180	5	0	5		5717	10478	-4761
ERGIC2	12	29337353	43819	#73af42	ERGIC and golgi 2	180	5	0	5		5717	10478	-4761
KCNA2	1	110593580	12778	#73af42	potassium voltage-gated channel subfamily A member 2	180	5	0	5		5717	10478	-4761
EVC2	4	5562440	146119	#73af42	EvC ciliary complex subunit 2	180	5	0	5		5717	10478	-4761
XPR1	1	180632022	258257	#73af42	xenotropic and polytropic retrovirus receptor 1	180	10	5	5		156	8822	-8666
AGPAT3	21	43865223	122367	#73af42	1-acylglycerol-3-phosphate O-acyltransferase 3	180	5	0	5		5717	10478	-4761
TMEM87A	15	42210452	63132	#73af42	transmembrane protein 87A	180	5	0	5		5717	10478	-4761
THBS4	5	79991296	91988	#73af42	thrombospondin 4	180	5	0	5		5717	10478	-4761
POU1F1	3	87259404	17180	#73af42	POU class 1 homeobox 1	180	5	0	5		5717	10478	-4761
CTNNA2	2	80313379	335484	#73af42	catenin alpha 2	180	5	0	5		5717	10478	-4761
SGO1	3	20160593	25613	#73af42	shugoshin 1	180	5	0	5		5717	10478	-4761
MIR665	14	100875033	71	#73af42	microRNA 665	180	5	0	5		5717	10478	-4761
SIGLEC8	19	51450997	7457	#73af42	sialic acid binding Ig like lectin 8	180	5	0	5		5717	10478	-4761
WWC3	X	10015755	128723	#73af42	WWC family member 3	180	5	0	5		5717	10478	-4761
CMPK2	2	6848316	18319	#73af42	cytidine/uridine monophosphate kinase 2	180	5	0	5		5717	10478	-4761
MIR302C	4	112648363	67	#73af42	microRNA 302c	180	5	0	5		5717	10478	-4761
CLCN2	3	184346185	15420	#73af42	chloride voltage-gated channel 2	180	5	0	5		5717	10478	-4761
CECR2	22	17359949	198206	#73af42	CECR2 histone acetyl-lysine reader	180	5	0	5		5717	10478	-4761
COG7	16	23388493	64696	#73af42	component of oligomeric golgi complex 7	180	5	0	5		5717	10478	-4761
PIGO	9	35088688	7861	#73af42	phosphatidylinositol glycan anchor biosynthesis class O	180	5	0	5		5717	10478	-4761
LINC02402	12	42615503	30995	#73af42	long intergenic non-protein coding RNA 2402	180	5	0	5		5717	10478	-4761
TMEM106C	12	47963596	5282	#73af42	transmembrane protein 106C	180	5	0	5		5717	10478	-4761
TNFRSF13C	22	41925032	1785	#73af42	TNF receptor superfamily member 13C	180	5	0	5		5717	10478	-4761
GSTM5	1	109712251	6017	#73af42	glutathione S-transferase mu 5	180	5	0	5		5717	10478	-4761
WNK3	X	54192823	165223	#73af42	WNK lysine deficient protein kinase 3	180	9	4	5		395	10077	-9682
TRO	X	54920824	10607	#73af42	trophinin	180	5	0	5		5717	10478	-4761
TMEM175	4	932460	26195	#73af42	transmembrane protein 175	180	5	0	5		5717	10478	-4761
ZNF213	16	3135029	7775	#73af42	zinc finger protein 213	180	5	0	5		5717	10478	-4761
DNAJC3	13	95677139	117849	#73af42	DnaJ heat shock protein family (Hsp40) member C3	180	10	5	5		156	8822	-8666
FAM234A	16	234821	31272	#73af42	family with sequence similarity 234 member A	180	5	0	5		5717	10478	-4761
MIR4498	12	120155434	65	#73af42	microRNA 4498	180	5	0	5		5717	10478	-4761
NPAT	11	108157215	65423	#73af42	nuclear protein, coactivator of histone transcription	180	9	4	5		395	10077	-9682
COG3	13	45464939	71762	#73af42	component of oligomeric golgi complex 3	180	5	0	5		5717	10478	-4761
TBC1D16	17	79943853	7000	#73af42	TBC1 domain family member 16	180	5	0	5		5717	10478	-4761
CAP1	1	40040583	32066	#73af42	cyclase associated actin cytoskeleton regulatory protein 1	180	5	0	5		5717	10478	-4761
SEPTIN8	5	132750819	26420	#73af42	septin 8	180	5	0	5		5717	10478	-4761
BLOC1S1	12	55716292	3415	#73af42	biogenesis of lysosomal organelles complex 1 subunit 1	180	5	0	5		5717	10478	-4761
SLC30A5	5	69094014	37053	#73af42	solute carrier family 30 member 5	180	5	0	5		5717	10478	-4761
ICE1	5	5422677	67543	#73af42	interactor of little elongation complex ELL subunit 1	180	8	3	5		1620	10418	-8798
SBF1	22	50445001	30034	#73af42	SET binding factor 1	180	10	5	5		156	8822	-8666
HABP2	10	113553053	36548	#73af42	hyaluronan binding protein 2	180	5	0	5		5717	10478	-4761
HIC1	17	2055103	8138	#73af42	HIC ZBTB transcriptional repressor 1	180	5	0	5		5717	10478	-4761
IL11	19	55364382	6081	#73af42	interleukin 11	180	5	0	5		5717	10478	-4761
APCDD1	18	10454635	35314	#73af42	APC down-regulated 1	180	5	0	5		5717	10478	-4761
CD99L2	X	150766336	132332	#73af42	CD99 molecule like 2	180	5	0	5		5717	10478	-4761
NDUFB5	3	179604794	22853	#73af42	NADH:ubiquinone oxidoreductase subunit B5	180	9	4	5		395	10077	-9682
PCDH9	13	66302834	927502	#73af42	protocadherin 9	180	5	0	5		5717	10478	-4761
ELOVL7	5	60751791	92478	#73af42	ELOVL fatty acid elongase 7	180	5	0	5		5717	10478	-4761
PCSK1	5	96390334	42914	#73af42	proprotein convertase subtilisin/kexin type 1	180	5	0	5		5717	10478	-4761
FLNC	7	128830406	28866	#73af42	filamin C	180	5	0	5		5717	10478	-4761
HES5	1	79935	1518	#73af42	hes family bHLH transcription factor 5	180	5	0	5		5717	10478	-4761
DRP2	X	101219944	44552	#73af42	dystrophin related protein 2	180	5	0	5		5717	10478	-4761
GOLIM4	3	168008696	87228	#73af42	golgi integral membrane protein 4	180	5	0	5		5717	10478	-4761
DEGS1	1	224183240	10200	#73af42	delta 4-desaturase, sphingolipid 1	180	5	0	5		5717	10478	-4761
VAMP4	1	171700163	41902	#73af42	vesicle associated membrane protein 4	180	5	0	5		5717	10478	-4761
GMFG	19	39328359	7684	#73af42	glia maturation factor gamma	180	5	0	5		5717	10478	-4761
SLK	10	103967140	62093	#73af42	STE20 like kinase	180	5	0	5		5717	10478	-4761
LINC00221	14	974118	13076	#73af42	long intergenic non-protein coding RNA 221	180	5	0	5		5717	10478	-4761
MIR675	11	51941	72	#73af42	microRNA 675	180	5	0	5		5717	10478	-4761
PRX	19	40393768	19610	#73af42	periaxin	180	5	0	5		5717	10478	-4761
GINM1	6	149566375	25369	#73af42	glycoprotein integral membrane 1	180	5	0	5		5717	10478	-4761
EFNB2	13	106489746	45916	#73af42	ephrin B2	180	10	5	5		156	8822	-8666
PWAR6	15	25031873	4615	#73af42	Prader Willi/Angelman region RNA 6	180	5	0	5		5717	10478	-4761
KCNV2	9	2717510	12527	#73af42	potassium voltage-gated channel modifier subfamily V member 2	180	5	0	5		5717	10478	-4761
PLOD2	3	146069441	92054	#73af42	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	180	10	5	5		156	8822	-8666
PLXNA1	3	126988594	48798	#73af42	plexin A1	180	5	0	5		5717	10478	-4761
ATG4D	19	10543904	9514	#73af42	autophagy related 4D cysteine peptidase	180	5	0	5		5717	10478	-4761
REG4	1	119801170	10290	#73af42	regenerating family member 4	180	5	0	5		5717	10478	-4761
ZAP70	2	97734406	5454	#73af42	zeta chain of T cell receptor associated protein kinase 70	180	5	0	5		5717	10478	-4761
CLASP1	2	121337776	311686	#73af42	cytoplasmic linker associated protein 1	180	5	0	5		5717	10478	-4761
POLR3GL	1	145964690	14158	#73af42	RNA polymerase III subunit GL	180	5	0	5		5717	10478	-4761
SEZ6L2	16	29871159	28391	#73af42	seizure related 6 homolog like 2	180	5	0	5		5717	10478	-4761
NRN1	6	5998000	6044	#73af42	neuritin 1	180	5	0	5		5717	10478	-4761
CSF2RB	22	36913628	26809	#73af42	colony stimulating factor 2 receptor subunit beta	180	5	0	5		5717	10478	-4761
BORA	13	72727923	28273	#73af42	BORA aurora kinase A activator	180	5	0	5		5717	10478	-4761
ARHGEF4	2	130963655	83598	#73af42	Rho guanine nucleotide exchange factor 4	180	5	0	5		5717	10478	-4761
FOLR1	11	72192140	4159	#73af42	folate receptor alpha	180	5	0	5		5717	10478	-4761
PPIC	5	123023250	13475	#73af42	peptidylprolyl isomerase C	180	5	0	5		5717	10478	-4761
MIR4732	17	28861655	75	#73af42	microRNA 4732	180	5	0	5		5717	10478	-4761
CD52	1	26317958	2565	#73af42	CD52 molecule	180	5	0	5		5717	10478	-4761
TXLNA	1	32180065	18220	#73af42	taxilin alpha	180	9	4	5		395	10077	-9682
OR1K1	9	122800123	950	#73af42	olfactory receptor family 1 subfamily K member 1	180	5	0	5		5717	10478	-4761
RHBDD2	7	75878992	9934	#73af42	rhomboid domain containing 2	180	5	0	5		5717	10478	-4761
C20orf204	20	64033727	5274	#73af42	chromosome 20 open reading frame 204	180	5	0	5		5717	10478	-4761
RNF149	2	101275601	33100	#73af42	ring finger protein 149	180	5	0	5		5717	10478	-4761
TRAF3IP2	6	111555381	50497	#73af42	TRAF3 interacting protein 2	180	5	0	5		5717	10478	-4761
CST4	20	23685640	3385	#73af42	cystatin S	180	5	0	5		5717	10478	-4761
NIPA1	15	22786644	43145	#73af42	NIPA magnesium transporter 1	180	5	0	5		5717	10478	-4761
SMYD5	2	73214245	12976	#73af42	SMYD family member 5	180	5	0	5		5717	10478	-4761
EPN2	17	19237377	99338	#73af42	epsin 2	180	5	0	5		5717	10478	-4761
LYPLA2	1	23791145	4394	#73af42	lysophospholipase 2	180	5	0	5		5717	10478	-4761
RHBDD3	22	29259872	8109	#73af42	rhomboid domain containing 3	180	5	0	5		5717	10478	-4761
CD79A	19	41877279	4093	#73af42	CD79a molecule	180	5	0	5		5717	10478	-4761
SEMA3C	7	80742536	176815	#73af42	semaphorin 3C	180	5	0	5		5717	10478	-4761
