gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	prior_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	prior_gene_rank	rank_delta
Mthfd2	4	115004448	11517	#73af42	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	180	0	0	0		270	670	-400
Rpl38	10	103198424	3635	#73af42	ribosomal protein L38	180	0	0	0		270	670	-400
Tsc22d4	12	22008956	12858	#73af42	TSC22 domain family, member 4	180	0	0	0		270	670	-400
Syncrip	8	96107238	25500	#73af42	synaptotagmin binding, cytoplasmic RNA interacting protein	180	0	0	0		270	670	-400
Timd2	10	31755477	34307	#73af42	T-cell immunoglobulin and mucin domain containing 2	180	0	0	0		270	670	-400
Mpp1	1	148450213	8732	#73af42	membrane palmitoylated protein 1	180	0	0	0		270	670	-400
Tmco3	16	81035001	37144	#73af42	transmembrane and coiled-coil domains 3	180	0	0	0		270	670	-400
Slc9a8	3	164174357	47970	#73af42	solute carrier family 9 member A8	180	0	0	0		270	670	-400
Helq	14	10446981	44061	#73af42	helicase, POLQ-like	180	0	0	0		270	670	-400
RGD1311946	1	218945565	8709	#73af42	similar to RIKEN cDNA 1810055G02	180	0	0	0		270	670	-400
Gpr4	1	80135297	1488	#73af42	G protein-coupled receptor 4	180	0	0	0		270	670	-400
Sypl1	6	52265957	18977	#73af42	synaptophysin-like 1	180	0	0	0		270	670	-400
Bag6	20	5125366	12718	#73af42	BAG cochaperone 6	180	0	0	0		270	670	-400
Cops8	9	97772224	9831	#73af42	COP9 signalosome subunit 8	180	0	0	0		270	670	-400
Parn	10	1309724	151399	#73af42	poly(A)-specific ribonuclease	180	0	0	0		270	670	-400
Synpo2	2	227255917	156007	#73af42	synaptopodin 2	180	0	0	0		270	670	-400
Ascc3	20	55253686	302787	#73af42	activating signal cointegrator 1 complex subunit 3	180	0	0	0		270	670	-400
Tprg1l	5	171456300	3188	#73af42	tumor protein p63 regulated 1-like	180	0	0	0		270	670	-400
Zfp180	1	80920745	19293	#73af42	zinc finger protein 180	180	0	0	0		270	670	-400
Mnx1	4	2376351	4957	#73af42	motor neuron and pancreas homeobox 1	180	0	0	0		270	670	-400
RGD1565498		63922871	13266	#73af42		180	0	0	0		-1	-1	-1
Asic4	9	82647071	21849	#73af42	acid sensing ion channel subunit family member 4	180	0	0	0		270	670	-400
Prl6a1	17	42705731	4843	#73af42	prolactin family 6, subfamily a, member 1	180	0	0	0		270	670	-400
Ptgdrl	15	18088897	7142	#73af42	prostaglandin D2 receptor-like	180	0	0	0		270	670	-400
Abcb9	12	37923974	32704	#73af42	ATP binding cassette subfamily B member 9	180	0	0	0		270	670	-400
Cd300a	10	103437978	13192	#73af42	Cd300a molecule	180	0	0	0		270	670	-400
Pola2	1	221297417	24042	#73af42	DNA polymerase alpha 2, accessory subunit	180	0	0	0		270	670	-400
Spa17	8	40067122	9073	#73af42	sperm autoantigenic protein 17	180	0	0	0		270	670	-400
Arid4b	17	53831780	123033	#73af42	AT-rich interaction domain 4B	180	0	0	0		270	670	-400
Slc5a7	9	5294379	36443	#73af42	solute carrier family 5 member 7	180	0	0	0		270	670	-400
Sorl1	8	46228077	59095	#73af42	sortilin related receptor 1	180	0	0	0		270	670	-400
Tie1	5	137294546	26504	#73af42	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	180	0	0	0		270	670	-400
Tmem209	4	57796337	26946	#73af42	transmembrane protein 209	180	0	0	0		270	670	-400
Fam89b	1	221085894	1555	#73af42	family with sequence similarity 89, member B	180	0	0	0		270	670	-400
Il17f	9	26885706	11513	#73af42	interleukin 17F	180	0	0	0		270	670	-400
Dmap1	5	136533791	8004	#73af42	DNA methyltransferase 1-associated protein 1	180	0	0	0		270	670	-400
Zfp52	1	61398494	27833	#73af42	zinc finger protein 52	180	0	0	0		270	670	-400
Yod1	13	47441296	1717	#73af42	YOD1 deubiquitinase	180	0	0	0		270	670	-400
Hbe1	1	169003904	1280	#73af42	hemoglobin subunit epsilon 1	180	0	0	0		270	670	-400
Man1a1	20	35258951	190329	#73af42	mannosidase, alpha, class 1A, member 1	180	0	0	0		270	670	-400
Ttc39c	18	3958432	121593	#73af42	tetratricopeptide repeat domain 39C	180	0	0	0		270	670	-400
Fuom	1	212563714	4510	#73af42	fucose mutarotase	180	0	0	0		270	670	-400
Phf3	9	37073514	70501	#73af42	PHD finger protein 3	180	0	0	0		270	670	-400
Poglut2	9	50872492	12104	#73af42	protein O-glucosyltransferase 2	180	0	0	0		270	670	-400
Oaz1	7	11752127	2460	#73af42	ornithine decarboxylase antizyme 1	180	0	0	0		270	670	-400
Mcoln2	2	252018594	49615	#73af42	mucolipin TRP cation channel 2	180	0	0	0		270	670	-400
Sh3tc1	14	80200174	29027	#73af42	SH3 domain and tetratricopeptide repeats 1	180	0	0	0		270	670	-400
Mto1	8	85808041	24222	#73af42	mitochondrial tRNA translation optimization 1	180	0	0	0		270	670	-400
Mir30c2	9	29562376	83	#73af42	microRNA 30c-2	180	0	0	0		270	670	-400
LOC680227	X	74304292	37331	#73af42	LRRGT00193	180	0	0	0		270	670	-400
Slc44a3	2	225038261	74598	#73af42	solute carrier family 44, member 3	180	0	0	0		270	670	-400
Gca	3	48626038	35279	#73af42	grancalcin	180	0	0	0		270	670	-400
Flt3	12	9360439	76564	#73af42	Fms related receptor tyrosine kinase 3	180	0	0	0		270	670	-400
Susd3	17	15814132	16196	#73af42	sushi domain containing 3	180	0	0	0		270	670	-400
Ddrgk1	3	123195580	11248	#73af42	DDRGK domain containing 1	180	0	0	0		270	670	-400
Nsd1	17	9844133	108765	#73af42	nuclear receptor binding SET domain protein 1	180	0	0	0		270	670	-400
Fam76b	8	12355767	18922	#73af42	family with sequence similarity 76, member B	180	0	0	0		270	670	-400
Cpa6	5	8459660	114995	#73af42	carboxypeptidase A6	180	0	0	0		270	670	-400
Mt4	19	11339767	2096	#73af42	metallothionein 4	180	0	0	0		270	670	-400
Cks2	17	13587664	5759	#73af42	CDC28 protein kinase regulatory subunit 2	180	0	0	0		270	670	-400
Anapc11	10	109774878	10999	#73af42	anaphase promoting complex subunit 11	180	0	0	0		270	670	-400
Rpl7a	3	4371049	850	#73af42	ribosomal protein L7a	180	0	0	0		270	670	-400
Tma7	8	118440736	4688	#73af42	translation machinery associated 7 homolog	180	0	0	0		270	670	-400
Tmem223	1	224970807	1361	#73af42	transmembrane protein 223	180	0	0	0		270	670	-400
Usp33	2	257568743	34073	#73af42	ubiquitin specific peptidase 33	180	0	0	0		270	670	-400
Amz1	12	15976887	20052	#73af42	archaelysin family metallopeptidase 1	180	0	0	0		270	670	-400
Marchf9	7	70343008	6102	#73af42	membrane associated ring-CH-type finger 9	180	0	0	0		270	670	-400
Apobec1	4	155386709	14771	#73af42	apolipoprotein B mRNA editing enzyme catalytic subunit 1	180	0	0	0		270	670	-400
Aplp2	8	32298526	30295	#73af42	amyloid beta precursor like protein 2	180	0	0	0		270	670	-400
Cyp7a1	5	19358734	9697	#73af42	cytochrome P450 family 7 subfamily A member 1	180	0	0	0		270	670	-400
Hypk	3	113423692	1372	#73af42	Huntingtin interacting protein K	180	0	0	0		270	670	-400
Gbp4	2	248249470	13634	#73af42	guanylate binding protein 4	180	0	0	0		270	670	-400
Fscb	6	86220261	2791	#73af42	fibrous sheath CABYR binding protein	180	0	0	0		270	670	-400
Papolb	12	14112426	2346	#73af42	poly(A) polymerase beta	180	0	0	0		270	670	-400
Tmem174	2	28748706	1531	#73af42	transmembrane protein 174	180	0	0	0		270	670	-400
Lrriq3	2	261403040	96853	#73af42	leucine-rich repeats and IQ motif containing 3	180	0	0	0		270	670	-400
Cmahp	17	42583939	56282	#73af42	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene	180	0	0	0		270	670	-400
Clec2l	4	66405166	16488	#73af42	C-type lectin domain family 2, member L	180	0	0	0		270	670	-400
Zfp598	10	14035149	11947	#73af42	zinc finger protein 598	180	0	0	0		270	670	-400
Usp42	12	12859673	18534	#73af42	ubiquitin specific peptidase 42	180	0	0	0		270	670	-400
Eda	X	69730242	492451	#73af42	ectodysplasin-A	180	0	0	0		270	670	-400
Srrm3	12	23855400	70341	#73af42	serine/arginine repetitive matrix 3	180	0	0	0		270	670	-400
Hoxc10	7	144577578	5223	#73af42	homeo box C10	180	0	0	0		270	670	-400
Aurkc	1	69958452	6094	#73af42	aurora kinase C	180	0	0	0		270	670	-400
Npr1	2	189840403	15687	#73af42	natriuretic peptide receptor 1	180	0	0	0		270	670	-400
Ctrb1	19	43906344	4676	#73af42	chymotrypsinogen B1	180	0	0	0		270	670	-400
Aldoa	1	198228387	4828	#73af42	aldolase, fructose-bisphosphate A	180	0	0	0		270	670	-400
Lepr	5	120503475	178794	#73af42	leptin receptor	180	0	0	0		270	670	-400
Depdc1	2	264704751	33514	#73af42	DEP domain containing 1	180	0	0	0		270	670	-400
Park7	5	167982438	17645	#73af42	Parkinsonism associated deglycase	180	0	0	0		270	670	-400
Cryaa	20	10438444	3747	#73af42	crystallin, alpha A	180	0	0	0		270	670	-400
Mtfr2	1	15834779	15645	#73af42	mitochondrial fission regulator 2	180	0	0	0		270	670	-400
Pgd	5	165966128	16199	#73af42	phosphogluconate dehydrogenase	180	0	0	0		270	670	-400
Apc	18	27047382	57951	#73af42	APC regulator of WNT signaling pathway	180	0	0	0		270	670	-400
Atp4a	1	89162700	12804	#73af42	ATPase H+/K+ transporting subunit alpha	180	0	0	0		270	670	-400
LOC684107	17	38919078	9369	#73af42	similar to placental prolactin-like protein O	180	0	0	0		270	670	-400
Bricd5	10	13839599	1533	#73af42	BRICHOS domain containing 5	180	0	0	0		270	670	-400
Aldoc	10	65586504	3589	#73af42	aldolase, fructose-bisphosphate C	180	0	0	0		270	670	-400
Fam229a	5	147692391	989	#73af42	family with sequence similarity 229, member A	180	0	0	0		270	670	-400
Zbtb8b	5	147628899	6890	#73af42	zinc finger and BTB domain containing 8b	180	0	0	0		270	670	-400
Cpxm1	3	122913886	6798	#73af42	carboxypeptidase X (M14 family), member 1	180	0	0	0		270	670	-400
Tmc2	3	122720769	69331	#73af42	transmembrane channel-like 2	180	0	0	0		270	670	-400
Olr1466	10	59923201	944	#73af42	olfactory receptor 1466	180	0	0	0		270	670	-400
Olr1482	10	59923201	313246	#73af42	olfactory receptor 1482	180	0	0	0		270	670	-400
Olr1475	10	60151029	938	#73af42	olfactory receptor 1475	180	0	0	0		270	670	-400
Olr130	1	169039802	923	#73af42	olfactory receptor 130	180	0	0	0		270	670	-400
Olr1481	10	59983918	22119	#73af42	olfactory receptor 1481	180	0	0	0		270	670	-400
Olr1471	10	60020196	12022	#73af42	olfactory receptor 1471	180	0	0	0		270	670	-400
Olr1472	10	60043842	935	#73af42	olfactory receptor 1472	180	0	0	0		270	670	-400
Pon3	4	30311981	26698	#73af42	paraoxonase 3	180	0	0	0		270	670	-400
Olr1130	8	18969478	938	#73af42	olfactory receptor 1130	180	0	0	0		270	670	-400
Olr1479	10	60190293	935	#73af42	olfactory receptor 1479	180	0	0	0		270	670	-400
Olr1488	10	60363588	938	#73af42	olfactory receptor 1488	180	0	0	0		270	670	-400
Olr276	1	172892134	944	#73af42	olfactory receptor 276	180	0	0	0		270	670	-400
Olr1491	10	60405271	938	#73af42	olfactory receptor 1491	180	0	0	0		270	670	-400
Olr1485	10	60274830	938	#73af42	olfactory receptor 1485	180	0	0	0		270	670	-400
Olr1652	17	2704197	926	#73af42	olfactory receptor 1652	180	0	0	0		270	670	-400
Olr1498	10	60541472	938	#73af42	olfactory receptor 1498	180	0	0	0		270	670	-400
Olr1499	10	60572194	935	#73af42	olfactory receptor 1499	180	0	0	0		270	670	-400
Olr1500	10	60625401	60168	#73af42	olfactory receptor 1500	180	0	0	0		270	670	-400
Olr262	1	172615677	956	#73af42	olfactory receptor 262	180	0	0	0		270	670	-400
Olr1505	10	60811534	1067	#73af42	olfactory receptor 1505	180	0	0	0		270	670	-400
Olr1492	10	60427817	938	#73af42	olfactory receptor 1492	180	0	0	0		270	670	-400
Olr68	1	168136959	968	#73af42	olfactory receptor 68	180	0	0	0		270	670	-400
Mynn	2	116398240	15633	#73af42	myoneurin	180	0	0	0		270	670	-400
Olr635	3	76790186	929	#73af42	olfactory receptor 635	180	0	0	0		270	670	-400
Olr1520	10	61160125	935	#73af42	olfactory receptor 1520	180	0	0	0		270	670	-400
Otp	2	24546393	8560	#73af42	orthopedia homeobox	180	0	0	0		270	670	-400
Phlda2	1	216702552	939	#73af42	pleckstrin homology-like domain, family A, member 2	180	0	0	0		270	670	-400
Ajap1	5	170615885	63430	#73af42	adherens junctions associated protein 1	180	0	0	0		270	670	-400
Defb14	16	75647680	858	#73af42	defensin beta 14	180	0	0	0		270	670	-400
Scaf4	11	30371713	56360	#73af42	SR-related CTD-associated factor 4	180	0	0	0		270	670	-400
Nxf7	X	106049075	17152	#73af42	nuclear RNA export factor 7	180	0	0	0		270	670	-400
Lrrc28	1	128486165	118005	#73af42	leucine rich repeat containing 28	180	0	0	0		270	670	-400
LOC498316	13	109646455	5774	#73af42	hypothetical LOC498316	180	0	0	0		270	670	-400
Arv1	19	57484720	11819	#73af42	ARV1 homolog, fatty acid homeostasis modulator	180	0	0	0		270	670	-400
Ifna4	5	106922563	569	#73af42	interferon, alpha 4	180	0	0	0		270	670	-400
Grid1	16	11170831	761366	#73af42	glutamate ionotropic receptor delta type subunit 1	180	0	0	0		270	670	-400
Luzp1	5	154831738	75896	#73af42	leucine zipper protein 1	180	0	0	0		270	670	-400
Hic1	10	62007150	3624	#73af42	HIC ZBTB transcriptional repressor 1	180	0	0	0		270	670	-400
Mirlet7d	17	16419980	97	#73af42	microRNA let-7d	180	0	0	0		270	670	-400
Bhmt2	2	23272326	16940	#73af42	betaine-homocysteine S-methyltransferase 2	180	0	0	0		270	670	-400
Plcb4	3	128601330	370379	#73af42	phospholipase C, beta 4	180	0	0	0		270	670	-400
Mir3099	1	70136945	128	#73af42	microRNA 3099	180	0	0	0		270	670	-400
Prss3	4	69264628	3708	#73af42	serine protease 3	180	0	0	0		270	670	-400
Pcyt1b	X	62754634	63879	#73af42	phosphate cytidylyltransferase 1B, choline	180	0	0	0		270	670	-400
Gimap4	4	78320230	6907	#73af42	GTPase, IMAP family member 4	180	0	0	0		270	670	-400
Rhobtb2	15	51467272	18290	#73af42	Rho-related BTB domain containing 2	180	0	0	0		270	670	-400
Ropn1l	2	84520421	10771	#73af42	rhophilin associated tail protein 1-like	180	0	0	0		270	670	-400
Rpp30	1	254697247	22842	#73af42	ribonuclease P/MRP subunit p30	180	0	0	0		270	670	-400
Igf2bp2	11	82466071	155034	#73af42	insulin-like growth factor 2 mRNA binding protein 2	180	0	0	0		270	670	-400
Mir142	10	75050839	86	#73af42	microRNA 142	180	0	0	0		270	670	-400
Mir148b	7	144912038	96	#73af42	microRNA 148b	180	0	0	0		270	670	-400
Cnot4	4	62561443	101757	#73af42	CCR4-NOT transcription complex, subunit 4	180	0	0	0		270	670	-400
Mlx	10	88997433	4719	#73af42	MAX dimerization protein MLX	180	0	0	0		270	670	-400
Tln1	5	59033636	29956	#73af42	talin 1	180	0	0	0		270	670	-400
Phc3	2	116032455	63590	#73af42	polyhomeotic homolog 3	180	0	0	0		270	670	-400
Pclo	4	16454904	604017	#73af42	piccolo (presynaptic cytomatrix protein)	180	0	0	0		270	670	-400
Cdc42ep4	10	102244680	24592	#73af42	CDC42 effector protein 4	180	0	0	0		270	670	-400
Cog1	10	102167771	12798	#73af42	component of oligomeric golgi complex 1	180	0	0	0		270	670	-400
Cst5	3	144569502	4610	#73af42	cystatin D	180	0	0	0		270	670	-400
Rnf6	12	10574168	9028	#73af42	ring finger protein 6	180	0	0	0		270	670	-400
S1pr4	7	11077411	2276	#73af42	sphingosine-1-phosphate receptor 4	180	0	0	0		270	670	-400
Tex49	7	140248852	21488	#73af42	testis expressed 49	180	0	0	0		270	670	-400
Prss22	10	13370098	4710	#73af42	serine protease 22	180	0	0	0		270	670	-400
Rtp2	11	80319177	12422	#73af42	receptor (chemosensory) transporter protein 2	180	0	0	0		270	670	-400
Prss32	10	13196700	6083	#73af42	protease, serine, 32	180	0	0	0		270	670	-400
RGD1307603	1	219309593	2647	#73af42	similar to hypothetical protein MGC37914	180	0	0	0		270	670	-400
RGD1308706	19	22699808	26894	#73af42	similar to RIKEN cDNA 4921524J17	180	0	0	0		270	670	-400
LOC100174910	18	52031834	15982	#73af42	glutaredoxin-like protein	180	0	0	0		270	670	-400
Noc3l	1	257469538	29306	#73af42	NOC3-like DNA replication regulator	180	0	0	0		270	670	-400
Sim2	11	34315739	39444	#73af42	SIM bHLH transcription factor 2	180	0	0	0		270	670	-400
Usp45	5	35916804	67720	#73af42	ubiquitin specific peptidase 45	180	0	0	0		270	670	-400
Gin1	9	111200384	20267	#73af42	gypsy retrotransposon integrase 1	180	0	0	0		270	670	-400
Pinx1	15	47211682	58426	#73af42	PIN2/TERF1 interacting, telomerase inhibitor 1	180	0	0	0		270	670	-400
Ccdc43	10	90644993	12192	#73af42	coiled-coil domain containing 43	180	0	0	0		270	670	-400
Pign	13	25513892	142893	#73af42	phosphatidylinositol glycan anchor biosynthesis, class N	180	0	0	0		270	670	-400
Sesn1	20	46667454	90851	#73af42	sestrin 1	180	0	0	0		270	670	-400
Lrrc10	7	60099120	1397	#73af42	leucine-rich repeat-containing 10	180	0	0	0		270	670	-400
Fzr1	7	11201690	11924	#73af42	fizzy and cell division cycle 20 related 1	180	0	0	0		270	670	-400
Fhl3	5	142689104	6751	#73af42	four and a half LIM domains 3	180	0	0	0		270	670	-400
Megf9	5	86586996	109392	#73af42	multiple EGF-like-domains 9	180	0	0	0		270	670	-400
Pappa1	5	80920621	230332	#73af42	pappalysin 1	180	0	0	0		270	670	-400
RGD1563349		21563848	193820	#73af42		180	0	0	0		-1	-1	-1
LOC106736471	10	64762911	571	#73af42	antisense transcript of iNOS gene	180	0	0	0		270	670	-400
Sar1b	10	37215989	29614	#73af42	secretion associated, Ras related GTPase 1B	180	0	0	0		270	670	-400
Mtfmt	8	70952209	34184	#73af42	mitochondrial methionyl-tRNA formyltransferase	180	0	0	0		270	670	-400
Coq6	6	108076442	11340	#73af42	coenzyme Q6 monooxygenase	180	0	0	0		270	670	-400
Nt5c1b	6	36089475	17364	#73af42	5'-nucleotidase, cytosolic IB	180	0	0	0		270	670	-400
Sf3a3	5	142702721	19627	#73af42	splicing factor 3a, subunit 3	180	0	0	0		270	670	-400
Ucn3	17	69960160	5951	#73af42	urocortin 3	180	0	0	0		270	670	-400
Ngrn	1	142050458	5878	#73af42	neugrin, neurite outgrowth associated	180	0	0	0		270	670	-400
Ancv1r	18	47795802	971	#73af42	ancient vomeronasal 1 receptor	180	0	0	0		270	670	-400
Sptb	6	99675083	107986	#73af42	spectrin, beta, erythrocytic	180	0	0	0		270	670	-400
Ipmk	20	18457309	32519	#73af42	inositol polyphosphate multikinase	180	0	0	0		270	670	-400
Nsa2	2	27942546	6543	#73af42	NSA2 ribosome biogenesis factor	180	0	0	0		270	670	-400
Mx2	11	38035513	24066	#73af42	MX dynamin like GTPase 2	180	0	0	0		270	670	-400
Mgst1	4	172119382	15229	#73af42	microsomal glutathione S-transferase 1	180	0	0	0		270	670	-400
Map3k7cl	11	27208564	43232	#73af42	MAP3K7 C-terminal like	180	0	0	0		270	670	-400
Supt6h	10	65470471	37110	#73af42	SPT6 homolog, histone chaperone and transcription elongation factor	180	0	0	0		270	670	-400
Dcun1d3	1	189627972	38468	#73af42	defective in cullin neddylation 1 domain containing 3	180	0	0	0		270	670	-400
Ccdc90b	1	157403595	13557	#73af42	coiled-coil domain containing 90B	180	0	0	0		270	670	-400
Calcr	4	28627440	75119	#73af42	calcitonin receptor	180	0	0	0		270	670	-400
Spout1	3	8743897	4731	#73af42	SPOUT domain containing methyltransferase 1	180	0	0	0		270	670	-400
Ogfod2	12	37907130	3309	#73af42	2-oxoglutarate and iron-dependent oxygenase domain containing 2	180	0	0	0		270	670	-400
Dgke	10	76386471	21518	#73af42	diacylglycerol kinase epsilon	180	0	0	0		270	670	-400
Ptpdc1	17	16333415	47157	#73af42	protein tyrosine phosphatase domain containing 1	180	0	0	0		270	670	-400
Glmn	14	3204390	43305	#73af42	glomulin, FKBP associated protein	180	0	0	0		270	670	-400
Usp4	8	117126692	44320	#73af42	ubiquitin specific peptidase 4	180	0	0	0		270	670	-400
Upf2	17	76176379	110867	#73af42	UPF2, regulator of nonsense mediated mRNA decay	180	0	0	0		270	670	-400
Nutm1	3	103734435	10801	#73af42	NUT midline carcinoma, family member 1	180	0	0	0		270	670	-400
Ndufb8	1	264298671	5041	#73af42	NADH:ubiquinone oxidoreductase subunit B8	180	0	0	0		270	670	-400
Aadat	16	32832059	36621	#73af42	aminoadipate aminotransferase	180	0	0	0		270	670	-400
Prl3d1	17	39777255	5622	#73af42	Prolactin family 3, subfamily d, member 1	180	0	0	0		270	670	-400
Cdon	8	36656644	52846	#73af42	cell adhesion associated, oncogene regulated	180	0	0	0		270	670	-400
Colq	16	7626380	55241	#73af42	collagen like tail subunit of asymmetric acetylcholinesterase	180	0	0	0		270	670	-400
Pop1	7	73270455	27642	#73af42	POP1 homolog, ribonuclease P/MRP subunit	180	0	0	0		270	670	-400
B3galt5	11	36677713	6202	#73af42	Beta-1,3-galactosyltransferase 5	180	0	0	0		270	670	-400
Nectin3	11	57897879	95669	#73af42	nectin cell adhesion molecule 3	180	0	0	0		270	670	-400
Ntng1	2	212696624	375846	#73af42	netrin G1	180	0	0	0		270	670	-400
Spag5	10	65566228	19545	#73af42	sperm associated antigen 5	180	0	0	0		270	670	-400
Grsf1	14	21039990	16419	#73af42	G-rich RNA sequence binding factor 1	180	0	0	0		270	670	-400
Dgat2	1	164113459	30359	#73af42	diacylglycerol O-acyltransferase 2	180	0	0	0		270	670	-400
Rbm42	1	89099296	9930	#73af42	RNA binding motif protein 42	180	0	0	0		270	670	-400
Slc10a7	19	32857984	222788	#73af42	solute carrier family 10, member 7	180	0	0	0		270	670	-400
Il34	19	40890544	13820	#73af42	interleukin 34	180	0	0	0		270	670	-400
Gimap1	4	78371392	3887	#73af42	GTPase, IMAP family member 1	180	0	0	0		270	670	-400
Defb5	16	75597323	2160	#73af42	defensin beta 5	180	0	0	0		270	670	-400
Iars1	17	15356016	46615	#73af42	isoleucyl-tRNA synthetase 1	180	0	0	0		270	670	-400
Arrdc4	1	129767227	9049	#73af42	arrestin domain containing 4	180	0	0	0		270	670	-400
Lysmd2	8	82560761	15900	#73af42	LysM domain containing 2	180	0	0	0		270	670	-400
Fam214a	8	81863619	77924	#73af42	family with sequence similarity 214, member A	180	0	0	0		270	670	-400
Slc35a1	5	50119881	18594	#73af42	solute carrier family 35 member A1	180	0	0	0		270	670	-400
Zscan10	10	12929471	9963	#73af42	zinc finger and SCAN domain containing 10	180	0	0	0		270	670	-400
Tmem38b	5	70639156	35899	#73af42	transmembrane protein 38B	180	0	0	0		270	670	-400
Acnat2	5	64669998	4252	#73af42	acyl-coenzyme A amino acid N-acyltransferase 2	180	0	0	0		270	670	-400
Wdr70	2	56944462	252060	#73af42	WD repeat domain 70	180	0	0	0		270	670	-400
Ncs1	3	10556250	46422	#73af42	neuronal calcium sensor 1	180	0	0	0		270	670	-400
Polr3d	15	52129471	4669	#73af42	RNA polymerase III subunit D	180	0	0	0		270	670	-400
Ms4a4c	1	227649625	11488	#73af42	membrane-spanning 4-domains, subfamily A, member 4C	180	0	0	0		270	670	-400
Cdkn1c	1	216661067	2653	#73af42	cyclin-dependent kinase inhibitor 1C	180	0	0	0		270	670	-400
Rae1	3	171015617	14768	#73af42	ribonucleic acid export 1	180	0	0	0		270	670	-400
Coq4	3	8349386	8333	#73af42	coenzyme Q4	180	0	0	0		270	670	-400
Slc39a4	7	117675730	4173	#73af42	solute carrier family 39 member 4	180	0	0	0		270	670	-400
Mir344i	1	122662155	99	#73af42	microRNA 344i	180	0	0	0		270	670	-400
Traf4	10	65418698	6104	#73af42	Tnf receptor associated factor 4	180	0	0	0		270	670	-400
Rhobtb1	20	20638579	74549	#73af42	Rho-related BTB domain containing 1	180	0	0	0		270	670	-400
Nosip	1	101055622	17316	#73af42	nitric oxide synthase interacting protein	180	0	0	0		270	670	-400
Tmem132e	10	69737328	57646	#73af42	transmembrane protein 132E	180	0	0	0		270	670	-400
Rac2	7	119783878	13190	#73af42	Rac family small GTPase 2	180	0	0	0		270	670	-400
Cd27	4	157744881	5207	#73af42	CD27 molecule	180	0	0	0		270	670	-400
Tspan12	4	48852826	75546	#73af42	tetraspanin 12	180	0	0	0		270	670	-400
Arhgdib	4	170913926	18652	#73af42	Rho GDP dissociation inhibitor beta	180	0	0	0		270	670	-400
Ahrr	1	31603297	95032	#73af42	aryl-hydrocarbon receptor repressor	180	0	0	0		270	670	-400
Haus4	15	33182139	11388	#73af42	HAUS augmin-like complex, subunit 4	180	0	0	0		270	670	-400
Ntmt1	3	9643047	16585	#73af42	N-terminal Xaa-Pro-Lys N-methyltransferase 1	180	0	0	0		270	670	-400
Fam107b	17	78489667	71946	#73af42	family with sequence similarity 107, member B	180	0	0	0		270	670	-400
LOC498154	12	17277635	102861	#73af42	hypothetical protein LOC498154	180	0	0	0		270	670	-400
LOC688925	10	70424313	622	#73af42	similar to Glutathione S-transferase alpha-4	180	0	0	0		270	670	-400
Il1f10	3	1413671	2928	#73af42	interleukin 1 family member 10	180	0	0	0		270	670	-400
Il36b	3	1366123	4846	#73af42	interleukin 36, beta	180	0	0	0		270	670	-400
Dapp1	2	243175346	49537	#73af42	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	180	0	0	0		270	670	-400
Cd274	1	247525151	11777	#73af42	CD274 molecule	180	0	0	0		270	670	-400
Plek2	6	102076736	18215	#73af42	pleckstrin 2	180	0	0	0		270	670	-400
Dennd6b	7	130164882	11814	#73af42	DENN domain containing 6B	180	0	0	0		270	670	-400
Dctd	16	47177146	30285	#73af42	dCMP deaminase	180	0	0	0		270	670	-400
Pde2a	1	166564695	61453	#73af42	phosphodiesterase 2A	180	0	0	0		270	670	-400
Amdhd1	7	34362635	43647	#73af42	amidohydrolase domain containing 1	180	0	0	0		270	670	-400
Ttc19	10	48599321	28053	#73af42	tetratricopeptide repeat domain 19	180	0	0	0		270	670	-400
Ndufb10	10	14090128	2161	#73af42	NADH:ubiquinone oxidoreductase subunit B10	180	0	0	0		270	670	-400
Acot4	6	107517668	19214	#73af42	acyl-CoA thioesterase 4	180	0	0	0		270	670	-400
Rmnd1	1	40949478	23338	#73af42	required for meiotic nuclear division 1 homolog	180	0	0	0		270	670	-400
Ndufa8	3	15363066	13701	#73af42	NADH:ubiquinone oxidoreductase subunit A8	180	0	0	0		270	670	-400
Znfx1	3	163788010	59661	#73af42	zinc finger, NFX1-type containing 1	180	0	0	0		270	670	-400
Cyfip1	1	114258793	88344	#73af42	cytoplasmic FMR1 interacting protein 1	180	0	0	0		270	670	-400
Loxl4	1	261835158	18339	#73af42	lysyl oxidase-like 4	180	0	0	0		270	670	-400
Bicd1	4	184019087	146453	#73af42	BICD cargo adaptor 1	180	0	0	0		270	670	-400
Plekhb2	9	41348447	32645	#73af42	pleckstrin homology domain containing B2	180	0	0	0		270	670	-400
Spdl1	10	19628267	24606	#73af42	spindle apparatus coiled-coil protein 1	180	0	0	0		270	670	-400
Fam71b	10	31508549	3236	#73af42	family with sequence similarity 71, member B	180	0	0	0		270	670	-400
Nadk2	2	58462588	42140	#73af42	NAD kinase 2, mitochondrial	180	0	0	0		270	670	-400
LOC690784	4	181346001	2798	#73af42	hypothetical protein LOC690784	180	0	0	0		270	670	-400
