#name	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	past_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	past_gene_rank	rank_delta
PSMB9	12	2431658	5576	#73af42	proteasome 20S subunit beta 9	180	0	0	0		7	37	-30
DLA-DMB	12	2502364	5052	#73af42	major histocompatibility complex, class II, DM beta	180	0	0	0		7	37	-30
DLA-DMA	12	2516014	3558	#73af42	major histocompatibility complex, class II, DM alpha	180	0	0	0		7	37	-30
BRD2	12	2533065	11995	#73af42	bromodomain containing 2	180	0	0	0		7	37	-30
DLA-DOA	12	2562685	4651	#73af42	HLA class II histocompatibility antigen, DO alpha chain-like	180	0	0	0		7	37	-30
SLC39A7	12	2662854	3596	#73af42	solute carrier family 39 member 7	180	0	0	0		7	37	-30
MIR219-1	12	2669850	62	#73af42	microRNA mir-219-1	180	0	0	0		7	37	-30
RING1	12	2670496	3910	#73af42	ring finger protein 1	180	0	0	0		7	37	-30
VPS52	12	2696593	15106	#73af42	VPS52 subunit of GARP complex	180	0	0	0		7	37	-30
RPS18	12	2711826	5478	#73af42	ribosomal protein S18	180	0	0	0		7	37	-30
B3GALT4	12	2717968	1677	#73af42	beta-1,3-galactosyltransferase 4	180	0	0	0		7	37	-30
PFDN6	12	2728205	1293	#73af42	prefoldin subunit 6	180	0	0	0		7	37	-30
TAPBP	12	2738920	11507	#73af42	TAP binding protein	180	0	0	0		7	37	-30
BAK1	12	2950651	3236	#73af42	BCL2 antagonist/killer 1	180	0	0	0		7	37	-30
MLN	12	3136030	9203	#73af42	motilin	180	0	0	0		7	37	-30
MIR8832	12	3199239	143	#73af42	microRNA mir-8832	180	0	0	0		7	37	-30
HMGA1	12	3527697	9327	#73af42	high mobility group AT-hook 1	180	0	0	0		7	37	-30
NUDT3	12	3566446	119533	#73af42	nudix hydrolase 3	180	0	0	0		7	37	-30
RPS10	12	3712937	6125	#73af42	ribosomal protein S10	180	0	0	0		7	37	-30
SNRPC	12	3994020	14474	#73af42	small nuclear ribonucleoprotein polypeptide C	180	0	0	0		7	37	-30
PPARD	12	4565298	12973	#73af42	peroxisome proliferator activated receptor delta	180	0	0	0		7	37	-30
CLPS	12	4909029	2069	#73af42	colipase	180	0	0	0		7	37	-30
MAPK14	12	5148463	73219	#73af42	mitogen-activated protein kinase 14	180	0	0	0		7	37	-30
PNPLA1	12	5381148	46109	#73af42	patatin like phospholipase domain containing 1	180	0	0	0		7	37	-30
PIM1	12	6215069	4428	#73af42	Pim-1 proto-oncogene, serine/threonine kinase	180	0	0	0		7	37	-30
TREM1	12	10002655	9190	#73af42	triggering receptor expressed on myeloid cells 1	180	0	0	0		7	37	-30
PRPH2	12	11308736	16939	#73af42	peripherin 2	180	0	0	0		7	37	-30
VEGFA	12	12217730	15502	#73af42	vascular endothelial growth factor A	180	0	0	0		7	37	-30
SLC29A1	12	12646180	6559	#73af42	solute carrier family 29 member 1 (Augustine blood group)	180	0	0	0		7	37	-30
SLC35B2	12	12673652	2750	#73af42	solute carrier family 35 member B2	180	0	0	0		7	37	-30
SLC25A27	12	14833979	22844	#73af42	solute carrier family 25 member 27	180	0	0	0		7	37	-30
PLA2G7	12	14881621	41361	#73af42	phospholipase A2 group VII	180	0	0	0		7	37	-30
RHAG	12	17449497	20377	#73af42	Rh associated glycoprotein	180	0	0	0		7	37	-30
DEFB112	12	17856201	780	#73af42	defensin beta 112	180	0	0	0		7	37	-30
TFAP2B	12	18549889	25753	#73af42	transcription factor AP-2 beta	180	0	0	0		7	37	-30
MIR206	12	19809950	59	#73af42	microRNA mir-206	180	0	0	0		7	37	-30
MIR133B	12	19814126	83	#73af42	microRNA mir-133b	180	0	0	0		7	37	-30
IL17A	12	19859850	8376	#73af42	interleukin 17A	180	0	0	0		7	37	-30
LOC474938	12	20352154	8143	#73af42	glutathione S-transferase A2	180	0	0	0		7	37	-30
GSTA4	12	20429613	16208	#73af42	glutathione S-transferase alpha 4	180	0	0	0		7	37	-30
FBXO9	12	20516927	48297	#73af42	F-box protein 9	180	0	0	0		7	37	-30
HCRTR2	12	22505616	105739	#73af42	hypocretin receptor 2	180	0	0	0		7	37	-30
LGSN	12	26894386	29756	#73af42	lengsin, lens protein with glutamine synthetase domain	180	0	0	0		7	37	-30
SMAP1	12	33213063	176919	#73af42	small ArfGAP 1	180	0	0	0		7	37	-30
B3GAT2	12	33391274	78833	#73af42	beta-1,3-glucuronyltransferase 2	180	0	0	0		7	37	-30
MIR30C-2	12	33833565	61	#73af42	microRNA mir-30c-2	180	0	0	0		7	37	-30
MIR30A	12	33859545	62	#73af42	microRNA mir-30a	180	0	0	0		7	37	-30
OOEP	12	35539947	1293	#73af42	oocyte expressed protein	180	0	0	0		7	37	-30
EEF1A1	12	35673037	4659	#73af42	eukaryotic translation elongation factor 1 alpha 1	180	0	0	0		7	37	-30
MIR8835	12	36993261	142	#73af42	microRNA mir-8835	180	0	0	0		7	37	-30
HTR1B	12	38755029	1169	#73af42	5-hydroxytryptamine receptor 1B	180	0	0	0		7	37	-30
SNAP91	12	44027844	138424	#73af42	synaptosome associated protein 91	180	0	0	0		7	37	-30
CGA	12	46708843	2064	#73af42	glycoprotein hormones, alpha polypeptide	180	0	0	0		7	37	-30
SLC35A1	12	47066605	23096	#73af42	solute carrier family 35 member A1	180	0	0	0		7	37	-30
MIR8833	12	48499906	144	#73af42	microRNA mir-8833	180	0	0	0		7	37	-30
FUT9	12	54926591	1079	#73af42	fucosyltransferase 9	180	0	0	0		7	37	-30
MCHR2	12	58257905	24401	#73af42	melanin concentrating hormone receptor 2	180	0	0	0		7	37	-30
FIG4	12	66742283	123599	#73af42	FIG4 phosphoinositide 5-phosphatase	180	0	0	0		7	37	-30
MIR599	13	1534225	94	#73af42	microRNA mir-599	180	0	0	0		7	37	-30
MIR875	13	1534375	73	#73af42	microRNA mir-875	180	0	0	0		7	37	-30
AZIN1	13	4365307	32010	#73af42	antizyme inhibitor 1	180	0	0	0		7	37	-30
FZD6	13	4737532	38344	#73af42	frizzled class receptor 6	180	0	0	0		7	37	-30
ZFPM2	13	6451443	360432	#73af42	zinc finger protein, FOG family member 2	180	0	0	0		7	37	-30
ANGPT1	13	8089554	240376	#73af42	angiopoietin 1	180	0	0	0		7	37	-30
MIR8836	13	9774995	134	#73af42	microRNA mir-8836	180	0	0	0		7	37	-30
EBAG9	13	10110045	12562	#73af42	estrogen receptor binding site associated antigen 9	180	0	0	0		7	37	-30
ANXA13	13	22028888	50081	#73af42	annexin A13	180	0	0	0		7	37	-30
TRIB1	13	23404842	8420	#73af42	tribbles pseudokinase 1	180	0	0	0		7	37	-30
MYC	13	25260451	4540	#73af42	MYC proto-oncogene, bHLH transcription factor	180	0	0	0		7	37	-30
TG	13	29431959	248645	#73af42	thyroglobulin	180	0	0	0		7	37	-30
NDRG1	13	29777136	41603	#73af42	N-myc downstream regulated 1	180	0	0	0		7	37	-30
MIR30B	13	30991393	59	#73af42	microRNA mir-30b	180	0	0	0		7	37	-30
MIR30D	13	30995654	59	#73af42	microRNA mir-30d	180	0	0	0		7	37	-30
MIR151	13	35458052	55	#73af42	microRNA mir-151	180	0	0	0		7	37	-30
FAM83H	13	37471655	4607	#73af42	family with sequence similarity 83 member H	180	0	0	0		7	37	-30
ZNF252	13	38361851	8550	#73af42	zinc finger protein 252	180	0	0	0		7	37	-30
MIR8901	3	31105945	32	#73af42	microRNA mir-8901	180	0	0	0		7	37	-30
CNGA1	13	44108424	33109	#73af42	cyclic nucleotide gated channel subunit alpha 1	180	0	0	0		7	37	-30
KIT	13	47394262	81492	#73af42	KIT proto-oncogene, receptor tyrosine kinase	180	0	0	0		7	37	-30
SRP72	13	48974564	29534	#73af42	signal recognition particle 72	180	0	0	0		7	37	-30
GNRHR	13	58590137	13483	#73af42	gonadotropin releasing hormone receptor	180	0	0	0		7	37	-30
UGT2B31	13	59405218	13460	#73af42	UDP-glucuronosyltransferase UGT2B31	180	0	0	0		7	37	-30
SULT1B1	13	59640713	14437	#73af42	sulfotransferase family 1B member 1	180	0	0	0		7	37	-30
CSN2	13	59846853	7671	#73af42	casein beta	180	0	0	0		7	37	-30
ODAM	13	59997363	9242	#73af42	odontogenic, ameloblast associated	180	0	0	0		7	37	-30
ALB	13	62529089	61352	#73af42	albumin	180	0	0	0		7	37	-30
AFP	13	62603973	20535	#73af42	alpha fetoprotein	180	0	0	0		7	37	-30
CXCL8	13	62855624	3316	#73af42	C-X-C motif chemokine ligand 8	180	0	0	0		7	37	-30
PPBP	13	62947100	1955	#73af42	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	180	0	0	0		7	37	-30
ARF1	14	746548	947	#73af42	ADP ribosylation factor 1	180	0	0	0		7	37	-30
OR2T11	14	2573331	962	#73af42	olfactory receptor family 2 subfamily T member 11	180	0	0	0		7	37	-30
AKR1B1	14	2926088	15011	#73af42	aldo-keto reductase family 1 member B	180	0	0	0		7	37	-30
SLC35B4	14	3054439	29002	#73af42	solute carrier family 35 member B4	180	0	0	0		7	37	-30
PODXL	14	5516244	50410	#73af42	podocalyxin like	180	0	0	0		7	37	-30
MIR29B-1	14	6124203	64	#73af42	microRNA mir-29b-1	180	0	0	0		7	37	-30
MIR29A	14	6124590	59	#73af42	microRNA mir-29a	180	0	0	0		7	37	-30
MIR335	14	6414176	57	#73af42	microRNA mir-335	180	0	0	0		7	37	-30
MIR183	14	7037124	60	#73af42	microRNA mir-183	180	0	0	0		7	37	-30
MIR96	14	7037336	88	#73af42	microRNA mir-96	180	0	0	0		7	37	-30
MIR182	14	7041286	91	#73af42	microRNA mir-182	180	0	0	0		7	37	-30
LEP	14	8087574	4412	#73af42	leptin	180	0	0	0		7	37	-30
MIR129-1	14	8136527	64	#73af42	microRNA mir-129-1	180	0	0	0		7	37	-30
MIR592	14	9154115	94	#73af42	microRNA mir-592	180	0	0	0		7	37	-30
ABCB1	14	13613256	97320	#73af42	ATP binding cassette subfamily B member 1	180	0	0	0		7	37	-30
CALCR	14	18889121	151156	#73af42	calcitonin receptor	180	0	0	0		7	37	-30
MIR653	14	18945385	90	#73af42	microRNA mir-653	180	0	0	0		7	37	-30
MIR489	14	18946098	83	#73af42	microRNA mir-489	180	0	0	0		7	37	-30
GNGT1	14	19382144	4539	#73af42	G protein subunit gamma transducin 1	180	0	0	0		7	37	-30
COL1A2	14	19850793	35869	#73af42	collagen type I alpha 2 chain	180	0	0	0		7	37	-30
PEG10	14	20088550	12714	#73af42	paternally expressed 10	180	0	0	0		7	37	-30
PON2	14	20619843	28240	#73af42	paraoxonase 2	180	0	0	0		7	37	-30
MIR8841-1	9	4908	94	#73af42	microRNA mir-8841-1	180	0	0	0		7	37	-30
MIR8841-2	14	4908	94	#73af42	microRNA mir-8841-2	180	0	0	0		7	37	-30
CAFA-T2R2	14	27342147	911	#73af42	bitter taste receptor Cafa-T2R2	180	0	0	0		7	37	-30
CRSP-4	14	27424982	440	#73af42	calcitonin receptor-stimulating peptide 4	180	0	0	0		7	37	-30
MCMBP	28	30031915	48389	#73af42	minichromosome maintenance complex binding protein	180	0	0	0		7	37	-30
IL6	14	36519712	4254	#73af42	interleukin 6	180	0	0	0		7	37	-30
CYCS	14	38628462	2534	#73af42	cytochrome c, somatic	180	0	0	0		7	37	-30
NPVF	14	38701648	3369	#73af42	neuropeptide VF precursor	180	0	0	0		7	37	-30
MIR148A	14	39356173	59	#73af42	microRNA mir-148a	180	0	0	0		7	37	-30
MIR196B	14	40396658	57	#73af42	microRNA mir-196b	180	0	0	0		7	37	-30
HOXA10	14	40399087	2431	#73af42	homeobox A10	180	0	0	0		7	37	-30
PLEKHA8	14	42866315	52572	#73af42	pleckstrin homology domain containing A8	180	0	0	0		7	37	-30
MIR215	38	98508363	19	#73af42	microRNA mir-215	180	0	0	0		7	37	-30
AQP1	14	43648522	11632	#73af42	aquaporin 1 (Colton blood group)	180	0	0	0		7	37	-30
TES	14	55263314	47343	#73af42	testin LIM domain protein	180	0	0	0		7	37	-30
CAV2	14	55507542	7836	#73af42	caveolin 2	180	0	0	0		7	37	-30
CAV1	14	55530973	31593	#73af42	caveolin 1	180	0	0	0		7	37	-30
MET	14	55696450	83424	#73af42	MET proto-oncogene, receptor tyrosine kinase	180	0	0	0		7	37	-30
CAPZA2	14	55833570	61127	#73af42	capping actin protein of muscle Z-line subunit alpha 2	180	0	0	0		7	37	-30
CFTR	14	56368632	162376	#73af42	CF transmembrane conductance regulator	180	0	0	0		7	37	-30
SLC2A1	15	456107	28719	#73af42	solute carrier family 2 member 1	180	0	0	0		7	37	-30
GUCA2A	15	1082785	1168	#73af42	guanylate cyclase activator 2A	180	0	0	0		7	37	-30
MIR8839	15	1277852	124	#73af42	microRNA mir-8839	180	0	0	0		7	37	-30
EDN2	15	1642581	6305	#73af42	endothelin 2	180	0	0	0		7	37	-30
MIR30C-1	15	2274894	60	#73af42	microRNA mir-30c-1	180	0	0	0		7	37	-30
MIR30E	15	2278149	63	#73af42	microRNA mir-30e	180	0	0	0		7	37	-30
COL9A2	15	2641314	14595	#73af42	collagen type IX alpha 2 chain	180	0	0	0		7	37	-30
PPT1	15	2854181	25878	#73af42	palmitoyl-protein thioesterase 1	180	0	0	0		7	37	-30
MYCBP	15	3854727	5759	#73af42	MYC binding protein	180	0	0	0		7	37	-30
RSPO1	15	4856312	12567	#73af42	R-spondin 1	180	0	0	0		7	37	-30
SMIM12	15	7129342	4675	#73af42	small integral membrane protein 12	180	0	0	0		7	37	-30
C22H16orf87		35185832	675	#73af42		180	0	0	0		-1	-1	-1
MIR761	15	9390530	69	#73af42	microRNA mir-761	180	0	0	0		7	37	-30
CYP4X1	15	13459321	36509	#73af42	cytochrome P450 family 4 subfamily X member 1	180	0	0	0		7	37	-30
CYP4A37	15	13555766	19577	#73af42	cytochrome P450 4A37	180	0	0	0		7	37	-30
CYP4A38	15	13590091	18913	#73af42	cytochrome P450 4A38	180	0	0	0		7	37	-30
CYP4A11	15	13615138	10410	#73af42	cytochrome P450, family 4, subfamily A, polypeptide 11	180	0	0	0		7	37	-30
AKR1A1	15	14744329	16458	#73af42	aldo-keto reductase family 1 member A1	180	0	0	0		7	37	-30
PRDX1	15	14790828	17449	#73af42	peroxiredoxin 1	180	0	0	0		7	37	-30
OR11J6	15	17422042	967	#73af42	olfactory receptor family 11 subfamily J member 6	180	0	0	0		7	37	-30
OR11G5	15	17458442	938	#73af42	olfactory receptor family 11 subfamily G member 5	180	0	0	0		7	37	-30
OR11G2B	15	17472559	935	#73af42	olfactory receptor family 11 subfamily G member 2B	180	0	0	0		7	37	-30
OR11G9	15	17551697	944	#73af42	olfactory receptor family 11 subfamily G member 9	180	0	0	0		7	37	-30
RPPH1	15	17647129	674	#73af42	ribonuclease P RNA component H1	180	0	0	0		7	37	-30
APEX1	15	17726748	2606	#73af42	apurinic/apyrimidinic endodeoxyribonuclease 1	180	0	0	0		7	37	-30
RNASE4	15	17924113	16972	#73af42	ribonuclease, RNase A family, 4	180	0	0	0		7	37	-30
LOC475395	15	17979542	1435	#73af42	ribonuclease pancreatic-like	180	0	0	0		7	37	-30
RPGRIP1	15	18257806	70981	#73af42	RPGR interacting protein 1	180	0	0	0		7	37	-30
MIR8838	15	26952908	128	#73af42	microRNA mir-8838	180	0	0	0		7	37	-30
NTS	15	27329416	11230	#73af42	neurotensin	180	0	0	0		7	37	-30
KITLG	15	29545261	80939	#73af42	KIT ligand	180	0	0	0		7	37	-30
ATP2B1	15	30496017	69424	#73af42	ATPase plasma membrane Ca2+ transporting 1	180	0	0	0		7	37	-30
DCN	15	31782651	43341	#73af42	decorin	180	0	0	0		7	37	-30
MIR8840	15	32418820	143	#73af42	microRNA mir-8840	180	0	0	0		7	37	-30
UBE2N	15	33601301	34556	#73af42	ubiquitin conjugating enzyme E2 N	180	0	0	0		7	37	-30
MIR331	15	35172389	89	#73af42	microRNA mir-331	180	0	0	0		7	37	-30
MIR135A-2	15	37117051	60	#73af42	microRNA mir-135a-2	180	0	0	0		7	37	-30
MIR8837	15	39098857	110	#73af42	microRNA mir-8837	180	0	0	0		7	37	-30
PMCH	15	40958046	1125	#73af42	pro-melanin concentrating hormone	180	0	0	0		7	37	-30
IGF1	15	41124961	72323	#73af42	insulin like growth factor 1	180	0	0	0		7	37	-30
HSP90B1	15	42380743	17282	#73af42	heat shock protein 90 beta family member 1	180	0	0	0		7	37	-30
GYPA	15	42955325	30939	#73af42	glycophorin A (MNS blood group)	180	0	0	0		7	37	-30
EDNRA	15	45768959	50778	#73af42	endothelin receptor type A	180	0	0	0		7	37	-30
TLR2	15	51404786	2366	#73af42	toll like receptor 2	180	0	0	0		7	37	-30
SFRP2	15	51483019	7596	#73af42	secreted frizzled related protein 2	180	0	0	0		7	37	-30
GUCY1A1	15	53134895	59952	#73af42	guanylate cyclase 1 soluble subunit alpha 1	180	0	0	0		7	37	-30
GUCY1B1	15	53226121	46571	#73af42	guanylate cyclase 1 soluble subunit beta 1	180	0	0	0		7	37	-30
ETFDH	15	55734215	28666	#73af42	electron transfer flavoprotein dehydrogenase	180	0	0	0		7	37	-30
NPY1R	15	59574468	1252	#73af42	neuropeptide Y receptor Y1	180	0	0	0		7	37	-30
NPY5R	15	59599312	1371	#73af42	neuropeptide Y receptor Y5	180	0	0	0		7	37	-30
MSMO1	15	61337450	13526	#73af42	methylsterol monooxygenase 1	180	0	0	0		7	37	-30
MIR8862	16	1078579	144	#73af42	microRNA mir-8862	180	0	0	0		7	37	-30
MIR8853	16	1244613	132	#73af42	microRNA mir-8853	180	0	0	0		7	37	-30
MIR8793-1	16	55559	104	#73af42	microRNA mir-8793-1	180	0	0	0		7	37	-30
MIR8793-2	16	55559	104	#73af42	microRNA mir-8793-2	180	0	0	0		7	37	-30
MIR8793-3	16	55559	104	#73af42	microRNA mir-8793-3	180	0	0	0		7	37	-30
MIR8794-1	16	1519899	112	#73af42	microRNA mir-8794-1	180	0	0	0		7	37	-30
MIR8794-2	16	1519899	112	#73af42	microRNA mir-8794-2	180	0	0	0		7	37	-30
OR2F1	16	5761500	953	#73af42	olfactory receptor family 2 subfamily F member 1	180	0	0	0		7	37	-30
TAS2R41	16	6032471	926	#73af42	taste 2 receptor member 41	180	0	0	0		7	37	-30
CLCN1	16	6144363	30547	#73af42	chloride voltage-gated channel 1	180	0	0	0		7	37	-30
CASP2	16	6181045	16312	#73af42	caspase 2	180	0	0	0		7	37	-30
TAS2R40	16	6240178	920	#73af42	taste 2 receptor member 40	180	0	0	0		7	37	-30
TAS2R39	16	6266173	962	#73af42	taste 2 receptor member 39	180	0	0	0		7	37	-30
TAS2R38	16	7099027	949	#73af42	taste 2 receptor member 38	180	0	0	0		7	37	-30
TAS2R5	16	7281716	887	#73af42	taste 2 receptor member 5	180	0	0	0		7	37	-30
TAS2R3	16	7310039	950	#73af42	taste 2 receptor member 3	180	0	0	0		7	37	-30
SSBP1	16	7326794	9558	#73af42	single stranded DNA binding protein 1	180	0	0	0		7	37	-30
HIPK2	16	8991699	120645	#73af42	homeodomain interacting protein kinase 2	180	0	0	0		7	37	-30
LUC7L2	16	9212708	62165	#73af42	LUC7-like 2 (S. cerevisiae)	180	0	0	0		7	37	-30
FMC1	16	9283433	5434	#73af42	formation of mitochondrial complex V assembly factor 1 homolog	180	0	0	0		7	37	-30
MIR8906	16	10284273	134	#73af42	microRNA mir-8906	180	0	0	0		7	37	-30
MIR8863	16	10523399	111	#73af42	microRNA mir-8863	180	0	0	0		7	37	-30
MIR8849	16	64093	94	#73af42	microRNA mir-8849	180	0	0	0		7	37	-30
MIR490	16	12048094	80	#73af42	microRNA mir-490	180	0	0	0		7	37	-30
MTPN	16	12738681	52626	#73af42	myotrophin	180	0	0	0		7	37	-30
MIR8847	16	13351163	100	#73af42	microRNA mir-8847	180	0	0	0		7	37	-30
SSPO	16	14643044	50964	#73af42	SCO-spondin	180	0	0	0		7	37	-30
KCNH2	16	15103715	32767	#73af42	potassium voltage-gated channel subfamily H member 2	180	0	0	0		7	37	-30
NOS3	16	15148899	18091	#73af42	nitric oxide synthase 3	180	0	0	0		7	37	-30
FASTK	16	15221399	4194	#73af42	Fas activated serine/threonine kinase	180	0	0	0		7	37	-30
MIR671	16	15373177	73	#73af42	microRNA mir-671	180	0	0	0		7	37	-30
MIR8855	16	15735262	144	#73af42	microRNA mir-8855	180	0	0	0		7	37	-30
MIR8850	16	17414648	120	#73af42	microRNA mir-8850	180	0	0	0		7	37	-30
MIR8851	16	17425753	102	#73af42	microRNA mir-8851	180	0	0	0		7	37	-30
MIR153	16	20031223	79	#73af42	microRNA mir-153	180	0	0	0		7	37	-30
VDAC3	16	23396625	12980	#73af42	voltage dependent anion channel 3	180	0	0	0		7	37	-30
AP3M2	16	23620257	17184	#73af42	adaptor related protein complex 3 subunit mu 2	180	0	0	0		7	37	-30
MIR486	16	24078703	63	#73af42	microRNA mir-486	180	0	0	0		7	37	-30
MIR8854	16	24109614	144	#73af42	microRNA mir-8854	180	0	0	0		7	37	-30
MIR8799D	16	26504978	134	#73af42	microRNA mir-8799d	180	0	0	0		7	37	-30
ADAM9	16	26539869	136524	#73af42	ADAM metallopeptidase domain 9	180	0	0	0		7	37	-30
STAR	16	27447844	4666	#73af42	steroidogenic acute regulatory protein	180	0	0	0		7	37	-30
ADRB3	16	27566781	1194	#73af42	adrenoceptor beta 3	180	0	0	0		7	37	-30
FUT10	16	31318158	70339	#73af42	fucosyltransferase 10	180	0	0	0		7	37	-30
MBOAT4	16	34278450	6914	#73af42	membrane bound O-acyltransferase domain containing 4	180	0	0	0		7	37	-30
LEPROTL1	16	34305946	11198	#73af42	leptin receptor overlapping transcript like 1	180	0	0	0		7	37	-30
MIR8856	16	34942862	132	#73af42	microRNA mir-8856	180	0	0	0		7	37	-30
MIR8848	16	35602671	144	#73af42	microRNA mir-8848	180	0	0	0		7	37	-30
DLC1	16	36672296	44266	#73af42	DLC1 Rho GTPase activating protein	180	0	0	0		7	37	-30
MIR383	16	38302940	61	#73af42	microRNA mir-383	180	0	0	0		7	37	-30
F11	16	44652096	16414	#73af42	coagulation factor XI	180	0	0	0		7	37	-30
KLKB1	16	44675226	23307	#73af42	kallikrein B1	180	0	0	0		7	37	-30
CASP3	16	46100810	20361	#73af42	caspase 3	180	0	0	0		7	37	-30
RWDD4	16	46916999	14714	#73af42	RWD domain containing 4	180	0	0	0		7	37	-30
SPCS3	16	53466017	10252	#73af42	signal peptidase complex subunit 3	180	0	0	0		7	37	-30
MCPH1	16	58441000	247068	#73af42	microcephalin 1	180	0	0	0		7	37	-30
ANGPT2	16	58549239	67519	#73af42	angiopoietin 2	180	0	0	0		7	37	-30
DEFB1	16	59031889	10591	#73af42	defensin beta 1	180	0	0	0		7	37	-30
DEFB4A	16	59114878	2483	#73af42	defensin, beta 4A	180	0	0	0		7	37	-30
CBD103	16	59123440	1555	#73af42	beta-defensin 103	180	0	0	0		7	37	-30
SPAG11E	16	59152642	1768	#73af42	sperm-associated antigen 11 variant E	180	0	0	0		7	37	-30
SPAG11B	16	59165032	5550	#73af42	sperm associated antigen 11B	180	0	0	0		7	37	-30
TPO	17	755185	35663	#73af42	thyroid peroxidase	180	0	0	0		7	37	-30
RNASEH1	17	2096928	10655	#73af42	ribonuclease H1	180	0	0	0		7	37	-30
ADAM17	17	6580977	48692	#73af42	ADAM metallopeptidase domain 17	180	0	0	0		7	37	-30
MIR8846	17	7142016	144	#73af42	microRNA mir-8846	180	0	0	0		7	37	-30
TRIB2	17	9221427	22850	#73af42	tribbles pseudokinase 2	180	0	0	0		7	37	-30
MIR8845	17	13102196	124	#73af42	microRNA mir-8845	180	0	0	0		7	37	-30
RHOB	17	15444980	1058	#73af42	ras homolog family member B	180	0	0	0		7	37	-30
MIR1301	17	19585054	134	#73af42	microRNA mir-1301	180	0	0	0		7	37	-30
RAB10	17	20190180	84103	#73af42	RAB10, member RAS oncogene family	180	0	0	0		7	37	-30
SELENOI	17	20440157	38287	#73af42	selenoprotein I	180	0	0	0		7	37	-30
KHK	17	21087005	12936	#73af42	ketohexokinase	180	0	0	0		7	37	-30
GCKR	17	21441647	25534	#73af42	glucokinase regulator	180	0	0	0		7	37	-30
MIR1837-1	17	19844	58	#73af42	microRNA mir-1837-1	180	0	0	0		7	37	-30
MIR1837-2	17	19844	58	#73af42	microRNA mir-1837-2	180	0	0	0		7	37	-30
MIR1837-3	Un	19844	58	#73af42	microRNA mir-1837-3	180	0	0	0		7	37	-30
MRPL33	17	21646718	9302	#73af42	mitochondrial ribosomal protein L33	180	0	0	0		7	37	-30
PPP1CB	17	22524746	37406	#73af42	protein phosphatase 1 catalytic subunit beta	180	0	0	0		7	37	-30
PCARE	17	22760906	11651	#73af42	photoreceptor cilium actin regulator	180	0	0	0		7	37	-30
SRD5A2	17	24887475	39153	#73af42	steroid 5 alpha-reductase 2	180	0	0	0		7	37	-30
EIF2AK2	17	29373804	41212	#73af42	eukaryotic translation initiation factor 2 alpha kinase 2	180	0	0	0		7	37	-30
CYP1B1	17	30148312	5269	#73af42	cytochrome P450 family 1 subfamily B member 1	180	0	0	0		7	37	-30
CDKL4	17	31078778	34371	#73af42	cyclin dependent kinase like 4	180	0	0	0		7	37	-30
SLC8A1	17	31887301	299603	#73af42	solute carrier family 8 member A1	180	0	0	0		7	37	-30
MAL	17	34876424	22998	#73af42	mal, T cell differentiation protein	180	0	0	0		7	37	-30
NPHP1	17	34975730	59782	#73af42	nephrocystin 1	180	0	0	0		7	37	-30
TPC3	17	35061736	39987	#73af42	two pore segment channel 3	180	0	0	0		7	37	-30
IL1A	17	36881972	8861	#73af42	interleukin 1 alpha	180	0	0	0		7	37	-30
IL1B	17	36930880	4517	#73af42	interleukin 1 beta	180	0	0	0		7	37	-30
IL1RN	17	37157832	5041	#73af42	interleukin 1 receptor antagonist	180	0	0	0		7	37	-30
PAX8	17	37220838	55511	#73af42	paired box 8	180	0	0	0		7	37	-30
FOXI3	17	37931650	3989	#73af42	forkhead box I3	180	0	0	0		7	37	-30
FABP1	17	38141305	5828	#73af42	fatty acid binding protein 1	180	0	0	0		7	37	-30
CD8A	17	38294729	4483	#73af42	CD8a molecule	180	0	0	0		7	37	-30
MIR8843	17	38643584	144	#73af42	microRNA mir-8843	180	0	0	0		7	37	-30
MAT2A	17	39401948	6874	#73af42	methionine adenosyltransferase 2A	180	0	0	0		7	37	-30
LOC100687463	17	44728950	2458	#73af42	regenerating islet-derived protein 3-gamma-like	180	0	0	0		7	37	-30
REG3A	17	44760943	2672	#73af42	regenerating islet-derived 3 alpha	180	0	0	0		7	37	-30
TACR1	17	47916025	140552	#73af42	tachykinin receptor 1	180	0	0	0		7	37	-30
HTRA2	17	48487009	2991	#73af42	HtrA serine peptidase 2	180	0	0	0		7	37	-30
MIR8842	17	51294261	100	#73af42	microRNA mir-8842	180	0	0	0		7	37	-30
NRAS	17	52323232	7053	#73af42	NRAS proto-oncogene, GTPase	180	0	0	0		7	37	-30
TSHB	17	52571137	26210	#73af42	thyroid stimulating hormone subunit beta	180	0	0	0		7	37	-30
NGF	17	52820833	777	#73af42	nerve growth factor	180	0	0	0		7	37	-30
CASQ2	17	53153854	65038	#73af42	calsequestrin 2	180	0	0	0		7	37	-30
ATP1A1	17	53747271	18553	#73af42	ATPase Na+/K+ transporting subunit alpha 1	180	0	0	0		7	37	-30
HSD3B2	17	56461835	8119	#73af42	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	180	0	0	0		7	37	-30
GJA5	17	58159018	15992	#73af42	gap junction protein alpha 5	180	0	0	0		7	37	-30
FCGR1A	17	58939430	8985	#73af42	Fc fragment of IgG receptor Ia	180	0	0	0		7	37	-30
